youtube_id,prompt
4c9MqxAvkl4,A man is giving a speech without reverberation
4c9MqxAvkl4,A man is giving a speech without echo
1BctuVhLz1A,A baby is laughing while a woman is speaking
1BctuVhLz1A,A baby is singing while a woman is speaking
1BctuVhLz1A,A baby is shouting while a woman is speaking
IbzH-BcC_2s,Some glass object hits the wood
GRpuXhXjAmk,Scraping with high pitched shatters
cKU0bKG4rWI,Someone groan in the background
cKU0bKG4rWI,Someone grunt in the background
Y2KCoO8C8R8,A bell sounds loudly and then fades away
